Company Name,Location,Job Title,Required Skills,Job Description,Experience Level,Salary Range,Posting Date,Job Type
Cognizant,Gurgaon,DevOps Engineer,"Python, ML, TensorFlow",NA,Senior,5-8 LPA,02-01-2024,Contract
Swiggy,Nagpur,DevOps Engineer,"Ruby on Rails, PostgreSQL",NA,Mid-level,18-25 LPA,01-11-2024,Full-time
Tata Consultancy Services,Lucknow,Data Analyst,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,10-15 LPA,21-11-2024,Part-time
Zomato,Ahmedabad,Data Analyst,"SQL, Excel, Data Visualization",NA,Senior,10-15 LPA,28-10-2023,Contract
Amazon,Gurgaon,Data Analyst,"SQL, Excel, Data Visualization",NA,Mid-level,20-30 LPA,31-05-2023,Internship
Tata Consultancy Services,Kolkata,Backend Developer,"AWS, Azure, Docker",NA,Mid-level,18-25 LPA,04-07-2024,Contract
Flipkart,Chennai,Software Engineer,"Python, ML, TensorFlow",NA,Mid-level,5-8 LPA,21-05-2023,Internship
Amazon,Pune,Frontend Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,7-12 LPA,07-06-2024,Full-time
IBM,Nagpur,ML Engineer,"Python, ML, TensorFlow",NA,Senior,10-15 LPA,20-09-2024,Internship
Paytm,Gurgaon,Frontend Developer,"AWS, Azure, Docker",NA,Mid-level,15-20 LPA,03-07-2024,Contract
Paytm,Surat,DevOps Engineer,"SQL, Excel, Data Visualization",NA,Mid-level,5-8 LPA,03-11-2024,Part-time
PhonePe,Bhopal,Cloud Engineer,"Go, Kubernetes, Docker",NA,Entry-level,20-30 LPA,27-03-2023,Internship
Zomato,Ahmedabad,Cloud Engineer,"Python, ML, TensorFlow",NA,Senior,4-6 LPA,02-11-2023,Contract
HCL Technologies,Mumbai,Cloud Engineer,"Node.js, Express, MongoDB",NA,Senior,20-30 LPA,12-03-2023,Internship
Capgemini,Surat,Software Engineer,"SQL, Power BI, Excel",NA,Senior,3-5 LPA,01-08-2023,Internship
Amazon,Lucknow,Business Analyst,"Python, NLP, AI models",NA,Entry-level,3-5 LPA,29-12-2024,Part-time
IBM,Mumbai,Software Engineer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,3-5 LPA,22-03-2023,Full-time
PhonePe,Hyderabad,Data Analyst,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,20-30 LPA,27-04-2023,Internship
Google,Bangalore,Cybersecurity Analyst,"React, Node.js, SQL",NA,Entry-level,4-6 LPA,13-08-2024,Full-time
Tech Mahindra,Ahmedabad,Full Stack Developer,"Ruby on Rails, PostgreSQL",NA,Entry-level,3-5 LPA,16-02-2024,Full-time
Accenture,Surat,Backend Developer,"Java, Spring Boot, Microservices",NA,Senior,20-30 LPA,13-10-2024,Contract
Amazon,Chennai,Full Stack Developer,"Ruby on Rails, PostgreSQL",NA,Entry-level,10-15 LPA,24-09-2024,Contract
Microsoft,Chennai,DevOps Engineer,"SQL, Excel, Data Visualization",NA,Senior,15-20 LPA,24-05-2024,Contract
Microsoft,Bangalore,Product Manager,"Ruby on Rails, PostgreSQL",NA,Senior,6-10 LPA,07-01-2023,Contract
Infosys,Bangalore,Cloud Engineer,"HTML, CSS, JavaScript",NA,Entry-level,5-8 LPA,25-12-2023,Part-time
Cognizant,Ahmedabad,Cybersecurity Analyst,"React, Node.js, SQL",NA,Senior,10-15 LPA,17-12-2024,Full-time
IBM,Lucknow,Cloud Engineer,"Node.js, Express, MongoDB",NA,Senior,6-10 LPA,05-10-2023,Contract
Zomato,Noida,ML Engineer,"Java, Spring Boot, Microservices",NA,Entry-level,20-30 LPA,30-08-2023,Internship
Accenture,Surat,Data Analyst,"Node.js, Express, MongoDB",NA,Senior,7-12 LPA,14-01-2024,Full-time
Tata Consultancy Services,Indore,Business Analyst,"Python, NLP, AI models",NA,Mid-level,18-25 LPA,12-08-2023,Internship
Deloitte,Mumbai,Software Engineer,"CI/CD, Jenkins, Kubernetes",NA,Senior,7-12 LPA,02-10-2023,Full-time
IBM,Hyderabad,Cybersecurity Analyst,"Python, ML, TensorFlow",NA,Senior,20-30 LPA,18-06-2024,Full-time
PhonePe,Jaipur,DevOps Engineer,"SQL, Excel, Data Visualization",NA,Mid-level,3-5 LPA,01-09-2023,Internship
Accenture,Coimbatore,Product Manager,"Ruby on Rails, PostgreSQL",NA,Entry-level,10-15 LPA,20-11-2024,Internship
Microsoft,Bangalore,Business Analyst,"SQL, Power BI, Excel",NA,Senior,6-10 LPA,26-12-2023,Internship
Amazon,Gurgaon,Frontend Developer,"AWS, Azure, Docker",NA,Entry-level,3-5 LPA,24-11-2024,Part-time
Wipro,Hyderabad,Product Manager,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,4-6 LPA,02-11-2023,Part-time
PhonePe,Jaipur,Full Stack Developer,"Python, ML, TensorFlow",NA,Entry-level,15-20 LPA,16-11-2023,Internship
PhonePe,Nagpur,Data Scientist,"SQL, Excel, Data Visualization",NA,Mid-level,15-20 LPA,23-06-2023,Part-time
Wipro,Jaipur,ML Engineer,"Go, Kubernetes, Docker",NA,Senior,4-6 LPA,03-05-2024,Contract
Tech Mahindra,Surat,Full Stack Developer,"Go, Kubernetes, Docker",NA,Entry-level,20-30 LPA,01-09-2023,Contract
HCL Technologies,Coimbatore,Backend Developer,"React, Node.js, SQL",NA,Entry-level,6-10 LPA,28-03-2023,Full-time
Paytm,Lucknow,ML Engineer,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,5-8 LPA,13-02-2025,Part-time
Paytm,Ahmedabad,Frontend Developer,"SQL, Excel, Data Visualization",NA,Senior,3-5 LPA,14-08-2024,Contract
Byju's,Surat,Backend Developer,"React, Node.js, SQL",NA,Entry-level,3-5 LPA,10-12-2023,Internship
Wipro,Noida,ML Engineer,"SQL, Power BI, Excel",NA,Entry-level,10-15 LPA,04-08-2024,Full-time
IBM,Jaipur,Frontend Developer,"SQL, Excel, Data Visualization",NA,Senior,4-6 LPA,02-12-2024,Contract
Microsoft,Indore,Business Analyst,"Node.js, Express, MongoDB",NA,Mid-level,5-8 LPA,11-03-2024,Part-time
Byju's,Bhopal,Full Stack Developer,"SQL, Excel, Data Visualization",NA,Mid-level,3-5 LPA,01-07-2023,Contract
Zomato,Noida,Data Analyst,"Python, ML, TensorFlow",NA,Senior,4-6 LPA,09-07-2024,Part-time
Byju's,Lucknow,Full Stack Developer,"Python, NLP, AI models",NA,Entry-level,3-5 LPA,07-12-2024,Contract
Zomato,Coimbatore,Frontend Developer,"Python, ML, TensorFlow",NA,Senior,20-30 LPA,18-01-2025,Part-time
Cognizant,Coimbatore,Backend Developer,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,18-25 LPA,24-06-2023,Contract
Google,Indore,Product Manager,"SQL, Power BI, Excel",NA,Senior,7-12 LPA,09-01-2024,Internship
Tata Consultancy Services,Noida,Backend Developer,"Ruby on Rails, PostgreSQL",NA,Senior,3-5 LPA,16-07-2023,Part-time
HCL Technologies,Lucknow,Business Analyst,"Node.js, Express, MongoDB",NA,Entry-level,6-10 LPA,09-08-2023,Contract
Flipkart,Nagpur,Business Analyst,"CI/CD, Jenkins, Kubernetes",NA,Senior,3-5 LPA,11-01-2023,Contract
Google,Noida,DevOps Engineer,"AWS, Azure, Docker",NA,Entry-level,6-10 LPA,26-03-2024,Internship
Oracle,Gurgaon,Business Analyst,"Go, Kubernetes, Docker",NA,Entry-level,20-30 LPA,29-04-2024,Part-time
Cognizant,Hyderabad,Software Engineer,"Python, ML, TensorFlow",NA,Senior,18-25 LPA,02-11-2024,Part-time
PhonePe,Chennai,ML Engineer,"Java, Spring Boot, Microservices",NA,Senior,18-25 LPA,20-09-2024,Contract
Accenture,Chennai,ML Engineer,"Go, Kubernetes, Docker",NA,Mid-level,5-8 LPA,23-05-2023,Full-time
Oracle,Kolkata,Software Engineer,"Node.js, Express, MongoDB",NA,Entry-level,15-20 LPA,22-02-2024,Full-time
Capgemini,Chennai,Backend Developer,"Python, NLP, AI models",NA,Entry-level,5-8 LPA,12-02-2024,Full-time
HCL Technologies,Nagpur,Backend Developer,"SQL, Power BI, Excel",NA,Entry-level,10-15 LPA,15-11-2024,Part-time
HCL Technologies,Surat,Software Engineer,"HTML, CSS, JavaScript",NA,Senior,7-12 LPA,02-04-2024,Internship
Oracle,Bhopal,Cloud Engineer,"AWS, Azure, Docker",NA,Entry-level,4-6 LPA,14-09-2024,Part-time
Flipkart,Nagpur,Cybersecurity Analyst,"SQL, Power BI, Excel",NA,Senior,7-12 LPA,03-07-2024,Full-time
Capgemini,Kolkata,Cybersecurity Analyst,"HTML, CSS, JavaScript",NA,Senior,15-20 LPA,12-07-2024,Contract
Tech Mahindra,Bangalore,Full Stack Developer,"SQL, Power BI, Excel",NA,Entry-level,5-8 LPA,24-04-2023,Full-time
Swiggy,Indore,Data Analyst,"Python, ML, TensorFlow",NA,Entry-level,4-6 LPA,31-12-2024,Full-time
Google,Surat,DevOps Engineer,"AWS, Azure, Docker",NA,Senior,6-10 LPA,16-12-2024,Internship
Capgemini,Coimbatore,Cybersecurity Analyst,"HTML, CSS, JavaScript",NA,Entry-level,18-25 LPA,04-12-2024,Part-time
Cognizant,Bangalore,Frontend Developer,"SQL, Power BI, Excel",NA,Senior,3-5 LPA,05-06-2024,Full-time
Zomato,Noida,Frontend Developer,"Python, NLP, AI models",NA,Senior,6-10 LPA,12-06-2024,Internship
Google,Chennai,DevOps Engineer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,20-30 LPA,23-03-2024,Internship
Tech Mahindra,Mumbai,Cybersecurity Analyst,"Java, Spring Boot, Microservices",NA,Entry-level,7-12 LPA,21-12-2024,Internship
Microsoft,Noida,Data Scientist,"Python, ML, TensorFlow",NA,Entry-level,6-10 LPA,01-03-2024,Internship
Byju's,Bangalore,Frontend Developer,"SQL, Power BI, Excel",NA,Mid-level,6-10 LPA,01-01-2023,Part-time
Wipro,Ahmedabad,DevOps Engineer,"SQL, Power BI, Excel",NA,Entry-level,10-15 LPA,05-10-2024,Internship
Infosys,Coimbatore,Frontend Developer,"HTML, CSS, JavaScript",NA,Senior,7-12 LPA,02-01-2025,Contract
Oracle,Indore,Data Scientist,"Python, ML, TensorFlow",NA,Senior,18-25 LPA,10-11-2023,Full-time
Accenture,Pune,Software Engineer,"SQL, Excel, Data Visualization",NA,Entry-level,6-10 LPA,15-10-2023,Internship
Tech Mahindra,Pune,Cloud Engineer,"AWS, Azure, Docker",NA,Senior,6-10 LPA,28-01-2024,Full-time
Swiggy,Nagpur,Frontend Developer,"Python, ML, TensorFlow",NA,Entry-level,7-12 LPA,20-11-2023,Internship
Wipro,Noida,DevOps Engineer,"Python, ML, TensorFlow",NA,Senior,6-10 LPA,06-01-2024,Contract
Wipro,Pune,Full Stack Developer,"Go, Kubernetes, Docker",NA,Mid-level,18-25 LPA,26-03-2023,Internship
Google,Bangalore,Backend Developer,"Node.js, Express, MongoDB",NA,Senior,4-6 LPA,17-02-2024,Contract
HCL Technologies,Hyderabad,DevOps Engineer,"SQL, Power BI, Excel",NA,Senior,10-15 LPA,24-03-2023,Internship
Paytm,Coimbatore,Data Analyst,"Java, Spring Boot, Microservices",NA,Mid-level,3-5 LPA,05-12-2023,Full-time
PhonePe,Surat,Business Analyst,"Python, NLP, AI models",NA,Mid-level,7-12 LPA,09-02-2023,Contract
Byju's,Lucknow,Full Stack Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,6-10 LPA,09-11-2023,Full-time
PhonePe,Jaipur,Product Manager,"Python, ML, TensorFlow",NA,Mid-level,10-15 LPA,13-02-2025,Internship
Infosys,Hyderabad,Cybersecurity Analyst,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,4-6 LPA,24-11-2023,Part-time
Tech Mahindra,Indore,Cybersecurity Analyst,"HTML, CSS, JavaScript",NA,Senior,4-6 LPA,03-08-2024,Full-time
Paytm,Bangalore,ML Engineer,"Go, Kubernetes, Docker",NA,Mid-level,10-15 LPA,26-06-2024,Contract
Capgemini,Coimbatore,Product Manager,"AWS, Azure, Docker",NA,Senior,5-8 LPA,28-03-2023,Full-time
HCL Technologies,Bhopal,Software Engineer,"Go, Kubernetes, Docker",NA,Senior,6-10 LPA,09-02-2025,Contract
Deloitte,Lucknow,Data Scientist,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,15-20 LPA,19-11-2023,Part-time
Capgemini,Mumbai,Product Manager,"AWS, Azure, Docker",NA,Mid-level,7-12 LPA,20-03-2024,Full-time
Infosys,Nagpur,Frontend Developer,"Node.js, Express, MongoDB",NA,Entry-level,5-8 LPA,25-01-2024,Internship
Flipkart,Nagpur,Data Scientist,"Go, Kubernetes, Docker",NA,Senior,6-10 LPA,21-11-2023,Contract
Amazon,Ahmedabad,Business Analyst,"SQL, Power BI, Excel",NA,Entry-level,15-20 LPA,10-08-2023,Full-time
HCL Technologies,Gurgaon,Data Scientist,"AWS, Azure, Docker",NA,Mid-level,20-30 LPA,28-02-2025,Part-time
Accenture,Pune,Backend Developer,"AWS, Azure, Docker",NA,Senior,4-6 LPA,23-02-2025,Contract
Zomato,Bhopal,Business Analyst,"CI/CD, Jenkins, Kubernetes",NA,Senior,3-5 LPA,26-02-2024,Full-time
Tech Mahindra,Lucknow,Business Analyst,"Ruby on Rails, PostgreSQL",NA,Entry-level,7-12 LPA,24-09-2024,Contract
Byju's,Gurgaon,Product Manager,"Ruby on Rails, PostgreSQL",NA,Entry-level,3-5 LPA,27-07-2024,Internship
Swiggy,Nagpur,Cloud Engineer,"Python, NLP, AI models",NA,Entry-level,3-5 LPA,01-06-2023,Internship
Infosys,Mumbai,Full Stack Developer,"SQL, Excel, Data Visualization",NA,Senior,7-12 LPA,24-03-2024,Contract
Amazon,Chennai,Data Scientist,"Ruby on Rails, PostgreSQL",NA,Senior,6-10 LPA,20-01-2024,Full-time
Tata Consultancy Services,Ahmedabad,Product Manager,"Node.js, Express, MongoDB",NA,Mid-level,5-8 LPA,02-02-2024,Full-time
Zomato,Kolkata,Business Analyst,"Node.js, Express, MongoDB",NA,Mid-level,3-5 LPA,16-06-2023,Part-time
Amazon,Coimbatore,ML Engineer,"SQL, Power BI, Excel",NA,Senior,5-8 LPA,12-01-2023,Full-time
Zomato,Hyderabad,Product Manager,"Java, Spring Boot, Microservices",NA,Entry-level,5-8 LPA,12-08-2024,Internship
Swiggy,Pune,Full Stack Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,20-30 LPA,02-07-2024,Contract
Byju's,Jaipur,Cybersecurity Analyst,"Java, Spring Boot, Microservices",NA,Mid-level,10-15 LPA,11-03-2025,Part-time
Microsoft,Nagpur,Cybersecurity Analyst,"HTML, CSS, JavaScript",NA,Senior,4-6 LPA,10-01-2025,Full-time
IBM,Kolkata,Business Analyst,"React, Node.js, SQL",NA,Entry-level,15-20 LPA,26-12-2023,Full-time
IBM,Hyderabad,Product Manager,"Python, NLP, AI models",NA,Entry-level,10-15 LPA,17-06-2023,Contract
PhonePe,Bangalore,Product Manager,"Python, NLP, AI models",NA,Entry-level,5-8 LPA,09-07-2023,Part-time
Paytm,Bhopal,Business Analyst,"AWS, Azure, Docker",NA,Entry-level,6-10 LPA,07-04-2024,Contract
PhonePe,Surat,Data Scientist,"Go, Kubernetes, Docker",NA,Mid-level,10-15 LPA,04-02-2024,Full-time
Paytm,Bangalore,Software Engineer,"SQL, Power BI, Excel",NA,Senior,4-6 LPA,26-12-2023,Internship
Microsoft,Surat,Product Manager,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,3-5 LPA,14-11-2024,Internship
Flipkart,Nagpur,Cloud Engineer,"Java, Spring Boot, Microservices",NA,Mid-level,20-30 LPA,07-11-2024,Full-time
Zomato,Bhopal,Business Analyst,"SQL, Excel, Data Visualization",NA,Senior,5-8 LPA,24-06-2023,Internship
Tech Mahindra,Ahmedabad,ML Engineer,"Go, Kubernetes, Docker",NA,Entry-level,10-15 LPA,02-03-2023,Internship
Amazon,Hyderabad,Software Engineer,"HTML, CSS, JavaScript",NA,Entry-level,10-15 LPA,27-03-2024,Full-time
Tata Consultancy Services,Pune,Frontend Developer,"Go, Kubernetes, Docker",NA,Entry-level,10-15 LPA,08-11-2024,Contract
Google,Hyderabad,Data Analyst,"Ruby on Rails, PostgreSQL",NA,Mid-level,7-12 LPA,12-12-2024,Internship
Amazon,Mumbai,DevOps Engineer,"Java, Spring Boot, Microservices",NA,Mid-level,18-25 LPA,19-02-2024,Internship
Microsoft,Gurgaon,Backend Developer,"Python, ML, TensorFlow",NA,Entry-level,20-30 LPA,26-10-2023,Internship
Google,Coimbatore,DevOps Engineer,"Python, NLP, AI models",NA,Senior,4-6 LPA,27-06-2024,Internship
Paytm,Surat,Backend Developer,"SQL, Power BI, Excel",NA,Entry-level,5-8 LPA,06-09-2024,Full-time
Tech Mahindra,Nagpur,Data Scientist,"AWS, Azure, Docker",NA,Senior,18-25 LPA,19-10-2023,Contract
IBM,Bangalore,Backend Developer,"Python, ML, TensorFlow",NA,Mid-level,15-20 LPA,26-01-2023,Full-time
Amazon,Indore,Backend Developer,"HTML, CSS, JavaScript",NA,Mid-level,4-6 LPA,08-02-2025,Internship
HCL Technologies,Gurgaon,Software Engineer,"SQL, Excel, Data Visualization",NA,Entry-level,7-12 LPA,14-07-2023,Part-time
Deloitte,Jaipur,Backend Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,15-20 LPA,04-10-2023,Part-time
Flipkart,Nagpur,Product Manager,"SQL, Excel, Data Visualization",NA,Entry-level,20-30 LPA,26-08-2024,Full-time
Accenture,Bhopal,Business Analyst,"SQL, Power BI, Excel",NA,Entry-level,3-5 LPA,02-04-2024,Full-time
Google,Surat,Product Manager,"Go, Kubernetes, Docker",NA,Senior,10-15 LPA,11-04-2023,Internship
Accenture,Chennai,Data Analyst,"Go, Kubernetes, Docker",NA,Senior,15-20 LPA,12-12-2024,Part-time
PhonePe,Noida,Data Analyst,"CI/CD, Jenkins, Kubernetes",NA,Senior,7-12 LPA,03-09-2023,Part-time
Tech Mahindra,Bangalore,Software Engineer,"AWS, Azure, Docker",NA,Entry-level,15-20 LPA,26-01-2023,Contract
Google,Kolkata,Frontend Developer,"Java, Spring Boot, Microservices",NA,Senior,20-30 LPA,10-06-2024,Full-time
Flipkart,Mumbai,Data Analyst,"CI/CD, Jenkins, Kubernetes",NA,Senior,3-5 LPA,16-02-2023,Contract
Paytm,Noida,ML Engineer,"Python, NLP, AI models",NA,Senior,10-15 LPA,06-12-2024,Contract
Accenture,Bhopal,Cybersecurity Analyst,"SQL, Power BI, Excel",NA,Mid-level,5-8 LPA,01-03-2024,Part-time
Wipro,Chennai,Data Analyst,"Node.js, Express, MongoDB",NA,Senior,5-8 LPA,25-12-2023,Contract
Oracle,Ahmedabad,Frontend Developer,"HTML, CSS, JavaScript",NA,Entry-level,4-6 LPA,18-07-2023,Contract
Oracle,Jaipur,Business Analyst,"Python, NLP, AI models",NA,Mid-level,3-5 LPA,16-03-2023,Internship
Deloitte,Jaipur,Frontend Developer,"Ruby on Rails, PostgreSQL",NA,Senior,20-30 LPA,03-02-2024,Contract
HCL Technologies,Hyderabad,Full Stack Developer,"Python, NLP, AI models",NA,Senior,10-15 LPA,29-05-2024,Contract
HCL Technologies,Nagpur,Frontend Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,3-5 LPA,02-01-2024,Part-time
Swiggy,Nagpur,Frontend Developer,"CI/CD, Jenkins, Kubernetes",NA,Senior,15-20 LPA,08-05-2024,Contract
Amazon,Surat,Full Stack Developer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,4-6 LPA,24-04-2024,Contract
HCL Technologies,Lucknow,Full Stack Developer,"Go, Kubernetes, Docker",NA,Entry-level,18-25 LPA,28-02-2023,Full-time
Microsoft,Coimbatore,Business Analyst,"Java, Spring Boot, Microservices",NA,Senior,3-5 LPA,14-08-2023,Full-time
Infosys,Pune,Data Scientist,"Python, ML, TensorFlow",NA,Mid-level,18-25 LPA,05-06-2024,Part-time
Swiggy,Surat,Data Scientist,"AWS, Azure, Docker",NA,Senior,3-5 LPA,20-08-2024,Part-time
Byju's,Hyderabad,Software Engineer,"React, Node.js, SQL",NA,Mid-level,6-10 LPA,05-05-2023,Contract
Tech Mahindra,Ahmedabad,ML Engineer,"Node.js, Express, MongoDB",NA,Mid-level,18-25 LPA,23-04-2023,Full-time
Cognizant,Gurgaon,Backend Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,3-5 LPA,12-11-2023,Part-time
Capgemini,Pune,Frontend Developer,"React, Node.js, SQL",NA,Mid-level,6-10 LPA,03-02-2024,Contract
Accenture,Noida,Frontend Developer,"HTML, CSS, JavaScript",NA,Mid-level,15-20 LPA,06-05-2024,Contract
Tata Consultancy Services,Lucknow,Full Stack Developer,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,3-5 LPA,16-03-2023,Full-time
Tata Consultancy Services,Pune,Business Analyst,"SQL, Power BI, Excel",NA,Entry-level,10-15 LPA,28-10-2024,Contract
Microsoft,Hyderabad,Frontend Developer,"Python, ML, TensorFlow",NA,Senior,10-15 LPA,01-04-2024,Full-time
Accenture,Nagpur,Data Scientist,"Go, Kubernetes, Docker",NA,Entry-level,20-30 LPA,08-07-2023,Part-time
PhonePe,Ahmedabad,Cloud Engineer,"SQL, Excel, Data Visualization",NA,Entry-level,7-12 LPA,19-07-2024,Contract
Tech Mahindra,Mumbai,Data Scientist,"Go, Kubernetes, Docker",NA,Senior,6-10 LPA,03-06-2023,Contract
Cognizant,Chennai,Cloud Engineer,"Go, Kubernetes, Docker",NA,Mid-level,7-12 LPA,29-08-2024,Contract
Tata Consultancy Services,Mumbai,Backend Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,15-20 LPA,07-05-2023,Part-time
IBM,Kolkata,Backend Developer,"CI/CD, Jenkins, Kubernetes",NA,Senior,15-20 LPA,16-01-2025,Part-time
Capgemini,Hyderabad,Cybersecurity Analyst,"CI/CD, Jenkins, Kubernetes",NA,Senior,3-5 LPA,05-02-2023,Internship
Capgemini,Bangalore,Data Scientist,"AWS, Azure, Docker",NA,Senior,3-5 LPA,29-07-2023,Full-time
Paytm,Nagpur,Cloud Engineer,"SQL, Power BI, Excel",NA,Senior,15-20 LPA,02-05-2024,Internship
IBM,Indore,Data Analyst,"AWS, Azure, Docker",NA,Senior,7-12 LPA,27-12-2024,Full-time
Microsoft,Surat,Cloud Engineer,"Python, NLP, AI models",NA,Mid-level,6-10 LPA,26-05-2023,Contract
Microsoft,Mumbai,Data Analyst,"Node.js, Express, MongoDB",NA,Entry-level,20-30 LPA,12-09-2024,Part-time
Cognizant,Bhopal,ML Engineer,"Node.js, Express, MongoDB",NA,Senior,15-20 LPA,10-03-2023,Internship
PhonePe,Coimbatore,Cloud Engineer,"AWS, Azure, Docker",NA,Entry-level,5-8 LPA,19-01-2024,Internship
Flipkart,Coimbatore,ML Engineer,"SQL, Excel, Data Visualization",NA,Senior,10-15 LPA,31-10-2024,Full-time
PhonePe,Ahmedabad,Software Engineer,"SQL, Excel, Data Visualization",NA,Senior,4-6 LPA,14-12-2024,Full-time
Swiggy,Gurgaon,Data Scientist,"Python, ML, TensorFlow",NA,Senior,7-12 LPA,06-06-2023,Internship
PhonePe,Gurgaon,Data Scientist,"Node.js, Express, MongoDB",NA,Entry-level,5-8 LPA,19-10-2023,Contract
Zomato,Mumbai,Cloud Engineer,"Node.js, Express, MongoDB",NA,Senior,5-8 LPA,22-03-2024,Contract
PhonePe,Bhopal,Backend Developer,"AWS, Azure, Docker",NA,Entry-level,10-15 LPA,16-01-2024,Internship
Infosys,Coimbatore,Cybersecurity Analyst,"SQL, Excel, Data Visualization",NA,Mid-level,18-25 LPA,09-12-2023,Full-time
Google,Jaipur,Backend Developer,"Python, NLP, AI models",NA,Senior,10-15 LPA,27-02-2025,Part-time
Infosys,Noida,Cybersecurity Analyst,"Java, Spring Boot, Microservices",NA,Senior,20-30 LPA,23-02-2024,Contract
Cognizant,Surat,DevOps Engineer,"Go, Kubernetes, Docker",NA,Senior,5-8 LPA,04-05-2023,Internship
HCL Technologies,Jaipur,Cybersecurity Analyst,"AWS, Azure, Docker",NA,Entry-level,18-25 LPA,30-01-2025,Internship
Oracle,Nagpur,Data Analyst,"Ruby on Rails, PostgreSQL",NA,Senior,6-10 LPA,18-11-2024,Full-time
Byju's,Mumbai,Cybersecurity Analyst,"HTML, CSS, JavaScript",NA,Mid-level,10-15 LPA,14-01-2024,Contract
Tech Mahindra,Mumbai,ML Engineer,"Python, NLP, AI models",NA,Entry-level,4-6 LPA,06-02-2024,Full-time
Microsoft,Indore,Software Engineer,"Python, NLP, AI models",NA,Entry-level,18-25 LPA,12-09-2024,Contract
Tata Consultancy Services,Gurgaon,Data Analyst,"HTML, CSS, JavaScript",NA,Senior,15-20 LPA,13-06-2023,Internship
Tata Consultancy Services,Bhopal,Business Analyst,"SQL, Power BI, Excel",NA,Senior,7-12 LPA,04-01-2025,Internship
Accenture,Mumbai,Cybersecurity Analyst,"Go, Kubernetes, Docker",NA,Entry-level,5-8 LPA,21-08-2024,Full-time
Zomato,Chennai,Software Engineer,"Python, NLP, AI models",NA,Senior,6-10 LPA,19-09-2023,Part-time
Oracle,Surat,Product Manager,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,4-6 LPA,10-09-2024,Contract
